date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:22:16	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684608	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/pageeac0.css	(from http://www.mauritiusjobs.mu/read_news/VFhwRmVnPT0%3D)
18:22:16	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684608	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menueac0.css	(from http://www.mauritiusjobs.mu/read_news/VFhwRmVnPT0%3D)
18:22:17	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684609	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/pagefe86.css	(from http://www.mauritiusjobs.mu/read_news/VFhwRmVBPT0%3D)
18:22:17	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684609	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menufe86.css	(from http://www.mauritiusjobs.mu/read_news/VFhwRmVBPT0%3D)
18:22:18	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684610	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/page1210.css	(from http://www.mauritiusjobs.mu/read_news/VFhwQk5RPT0%3D)
18:22:18	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684610	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menu1210.css	(from http://www.mauritiusjobs.mu/read_news/VFhwQk5RPT0%3D)
18:22:19	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684611	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/page9264.css	(from http://www.mauritiusjobs.mu/read_news/VFhwQk13PT0%3D)
18:22:19	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684611	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menu9264.css	(from http://www.mauritiusjobs.mu/read_news/VFhwQk13PT0%3D)
18:22:19	73106/73106	---M-Z	200	added ('OK')	text/css	etag:%2211d92-543d5331bac20-gzip%22	https://www.mauritiusjobs.mu/css/page.css?1548684612	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/pagea3dc.css	(from http://www.mauritiusjobs.mu/read_news/VFhwQk1RPT0%3D)
18:22:20	3537/3537	---M-Z	200	added ('OK')	text/css	etag:%22dd1-543d532f42ec2-gzip%22	https://www.mauritiusjobs.mu/css/menu.css?1548684612	E:/Downloaded%20websites/MAURITIUSJOB/www.mauritiusjobs.mu/css/menua3dc.css	(from http://www.mauritiusjobs.mu/read_news/VFhwQk1RPT0%3D)
